Id,Origem de Tráfego,Dispositivo,Página,Valor Simulado
1,Paid Search,desktop,1 - Homepage,
2,Paid Search,desktop,1 - Homepage,
3,Paid Search,desktop,4 - Cadastro,2000
3,Paid Search,desktop,1 - Homepage,2000
3,Paid Search,desktop,3 - Plano de Investimentos,2000
3,Paid Search,desktop,2 - Questionário,2000
4,Paid Search,desktop,1 - Homepage,
5,Paid Search,desktop,1 - Homepage,
6,Paid Search,desktop,1 - Homepage,
7,Paid Search,desktop,1 - Homepage,
8,Paid Search,desktop,1 - Homepage,
9,Paid Search,desktop,1 - Homepage,
10,Paid Search,desktop,1 - Homepage,
11,Paid Search,desktop,1 - Homepage,
12,Paid Search,desktop,1 - Homepage,
13,Paid Search,desktop,1 - Homepage,
14,Paid Search,desktop,1 - Homepage,
15,Paid Search,desktop,1 - Homepage,
16,Paid Search,desktop,1 - Homepage,
17,Paid Search,desktop,1 - Homepage,
18,Paid Search,desktop,1 - Homepage,
19,Paid Search,desktop,1 - Homepage,
20,Paid Search,desktop,1 - Homepage,
21,Paid Search,desktop,1 - Homepage,
22,Paid Search,desktop,1 - Homepage,
23,Paid Search,desktop,1 - Homepage,
24,Paid Search,desktop,1 - Homepage,
25,Paid Search,desktop,1 - Homepage,
26,Paid Search,desktop,1 - Homepage,
27,Paid Search,desktop,1 - Homepage,
28,Paid Search,desktop,1 - Homepage,
29,Paid Search,desktop,1 - Homepage,
30,Paid Search,desktop,1 - Homepage,
31,Paid Search,desktop,1 - Homepage,
32,Paid Search,desktop,1 - Homepage,
33,Paid Search,desktop,1 - Homepage,
34,Paid Search,desktop,1 - Homepage,
35,Paid Search,desktop,4 - Cadastro,3000
35,Paid Search,desktop,1 - Homepage,3000
35,Paid Search,desktop,3 - Plano de Investimentos,3000
35,Paid Search,desktop,2 - Questionário,3000
36,Paid Search,desktop,1 - Homepage,
37,Paid Search,desktop,1 - Homepage,
39,Paid Search,desktop,4 - Cadastro,3000
39,Paid Search,desktop,1 - Homepage,3000
39,Paid Search,desktop,3 - Plano de Investimentos,3000
39,Paid Search,desktop,2 - Questionário,3000
41,Paid Search,desktop,1 - Homepage,
42,Paid Search,desktop,1 - Homepage,
44,Paid Search,desktop,1 - Homepage,
45,Paid Search,desktop,4 - Cadastro,1000
45,Paid Search,desktop,1 - Homepage,1000
45,Paid Search,desktop,3 - Plano de Investimentos,1000
45,Paid Search,desktop,2 - Questionário,1000
46,Paid Search,desktop,1 - Homepage,
47,Paid Search,desktop,1 - Homepage,
49,Paid Search,desktop,1 - Homepage,
50,Paid Search,desktop,1 - Homepage,
51,Paid Search,desktop,1 - Homepage,
52,Paid Search,desktop,1 - Homepage,
53,Paid Search,desktop,1 - Homepage,
54,Paid Search,desktop,4 - Cadastro,1000
54,Paid Search,desktop,1 - Homepage,1000
54,Paid Search,desktop,3 - Plano de Investimentos,1000
54,Paid Search,desktop,2 - Questionário,1000
57,Paid Search,desktop,1 - Homepage,
58,Paid Search,desktop,1 - Homepage,
59,Paid Search,desktop,4 - Cadastro,50000
59,Paid Search,desktop,1 - Homepage,50000
59,Paid Search,desktop,3 - Plano de Investimentos,50000
59,Paid Search,desktop,2 - Questionário,50000
60,Paid Search,desktop,1 - Homepage,
61,Paid Search,desktop,1 - Homepage,
62,Paid Search,desktop,1 - Homepage,
65,Paid Search,desktop,4 - Cadastro,1000
65,Paid Search,desktop,1 - Homepage,1000
65,Paid Search,desktop,3 - Plano de Investimentos,1000
65,Paid Search,desktop,2 - Questionário,1000
96,Paid Search,desktop,4 - Cadastro,50000
96,Paid Search,desktop,1 - Homepage,50000
96,Paid Search,desktop,3 - Plano de Investimentos,50000
96,Paid Search,desktop,2 - Questionário,50000
103,Paid Search,desktop,4 - Cadastro,1000
103,Paid Search,desktop,1 - Homepage,1000
103,Paid Search,desktop,3 - Plano de Investimentos,1000
103,Paid Search,desktop,2 - Questionário,1000
132,Paid Search,desktop,4 - Cadastro,1000
132,Paid Search,desktop,1 - Homepage,1000
132,Paid Search,desktop,3 - Plano de Investimentos,1000
132,Paid Search,desktop,2 - Questionário,1000
149,Paid Search,desktop,4 - Cadastro,3000
149,Paid Search,desktop,1 - Homepage,3000
149,Paid Search,desktop,3 - Plano de Investimentos,3000
149,Paid Search,desktop,2 - Questionário,3000
156,Paid Search,desktop,4 - Cadastro,1000
156,Paid Search,desktop,1 - Homepage,1000
156,Paid Search,desktop,3 - Plano de Investimentos,1000
156,Paid Search,desktop,2 - Questionário,1000
160,Paid Search,desktop,4 - Cadastro,1000
160,Paid Search,desktop,1 - Homepage,1000
160,Paid Search,desktop,3 - Plano de Investimentos,1000
160,Paid Search,desktop,2 - Questionário,1000
171,Paid Search,desktop,4 - Cadastro,5000
171,Paid Search,desktop,1 - Homepage,5000
171,Paid Search,desktop,3 - Plano de Investimentos,5000
171,Paid Search,desktop,2 - Questionário,5000
181,Paid Search,desktop,4 - Cadastro,5000
181,Paid Search,desktop,1 - Homepage,5000
181,Paid Search,desktop,3 - Plano de Investimentos,5000
181,Paid Search,desktop,2 - Questionário,5000
216,Paid Search,desktop,4 - Cadastro,3000
216,Paid Search,desktop,1 - Homepage,3000
216,Paid Search,desktop,3 - Plano de Investimentos,3000
216,Paid Search,desktop,2 - Questionário,3000
251,Paid Search,desktop,4 - Cadastro,3000
251,Paid Search,desktop,1 - Homepage,3000
251,Paid Search,desktop,3 - Plano de Investimentos,3000
251,Paid Search,desktop,2 - Questionário,3000
253,Paid Search,desktop,4 - Cadastro,20000
253,Paid Search,desktop,1 - Homepage,20000
253,Paid Search,desktop,3 - Plano de Investimentos,20000
253,Paid Search,desktop,2 - Questionário,20000
259,Paid Search,desktop,4 - Cadastro,1000
259,Paid Search,desktop,1 - Homepage,1000
259,Paid Search,desktop,3 - Plano de Investimentos,1000
259,Paid Search,desktop,2 - Questionário,1000
269,Paid Search,desktop,4 - Cadastro,1000
269,Paid Search,desktop,1 - Homepage,1000
269,Paid Search,desktop,3 - Plano de Investimentos,1000
269,Paid Search,desktop,2 - Questionário,1000
272,Paid Search,desktop,4 - Cadastro,4000
272,Paid Search,desktop,1 - Homepage,4000
272,Paid Search,desktop,3 - Plano de Investimentos,4000
272,Paid Search,desktop,2 - Questionário,4000
281,Paid Search,desktop,4 - Cadastro,4000
281,Paid Search,desktop,1 - Homepage,4000
281,Paid Search,desktop,3 - Plano de Investimentos,4000
281,Paid Search,desktop,2 - Questionário,4000
282,Paid Search,desktop,4 - Cadastro,4000
282,Paid Search,desktop,1 - Homepage,4000
282,Paid Search,desktop,3 - Plano de Investimentos,4000
282,Paid Search,desktop,2 - Questionário,4000
305,Paid Search,desktop,4 - Cadastro,4000
305,Paid Search,desktop,1 - Homepage,4000
305,Paid Search,desktop,3 - Plano de Investimentos,4000
305,Paid Search,desktop,2 - Questionário,4000
324,Paid Search,desktop,4 - Cadastro,5000
324,Paid Search,desktop,1 - Homepage,5000
324,Paid Search,desktop,3 - Plano de Investimentos,5000
324,Paid Search,desktop,2 - Questionário,5000
357,Paid Search,desktop,4 - Cadastro,5000
357,Paid Search,desktop,1 - Homepage,5000
357,Paid Search,desktop,3 - Plano de Investimentos,5000
357,Paid Search,desktop,2 - Questionário,5000
375,Paid Search,desktop,4 - Cadastro,2000
375,Paid Search,desktop,1 - Homepage,2000
375,Paid Search,desktop,3 - Plano de Investimentos,2000
375,Paid Search,desktop,2 - Questionário,2000
382,Paid Search,desktop,4 - Cadastro,5000
382,Paid Search,desktop,1 - Homepage,5000
382,Paid Search,desktop,3 - Plano de Investimentos,5000
382,Paid Search,desktop,2 - Questionário,5000
402,Paid Search,desktop,4 - Cadastro,6000
402,Paid Search,desktop,1 - Homepage,6000
402,Paid Search,desktop,3 - Plano de Investimentos,6000
402,Paid Search,desktop,2 - Questionário,6000
409,Paid Search,desktop,4 - Cadastro,6000
409,Paid Search,desktop,1 - Homepage,6000
409,Paid Search,desktop,3 - Plano de Investimentos,6000
409,Paid Search,desktop,2 - Questionário,6000
410,Paid Search,desktop,4 - Cadastro,6000
410,Paid Search,desktop,1 - Homepage,6000
410,Paid Search,desktop,3 - Plano de Investimentos,6000
410,Paid Search,desktop,2 - Questionário,6000
421,Paid Search,desktop,4 - Cadastro,8000
421,Paid Search,desktop,1 - Homepage,8000
421,Paid Search,desktop,3 - Plano de Investimentos,8000
